seed,best_epoch,val_acc,val_bal_acc,val_f1_macro,val_female_recall,val_occ_acc,val_occ_n,val_total,run_dir
42,3,0.7894736842105263,0.7336309523809523,0.7468017057569296,0.5625,0.9052631578947369,10,95,runs_gender_Bpp\seed_42
43,4,0.8313253012048193,0.82012987012987,0.8144955300127714,0.7857142857142857,0.9518072289156626,7,83,runs_gender_Bpp\seed_43
44,8,0.8108108108108109,0.7444444444444445,0.7521531100478469,0.6,0.8918918918918919,8,111,runs_gender_Bpp\seed_44
